model,variant,presentation,r,lag,env,budget,nmse,seconds,evalset
Chronos-2 L-syn,Chronos-2 L-syn diff r=12,diff,12,-1,Acrobot-v1,4,0.5528974973435963,3.1339125633239746,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn diff r=16,diff,16,-1,Acrobot-v1,4,0.570361572021365,3.125485897064209,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn level r=1,level,1,-1,Acrobot-v1,4,2.2959103679714628,2.2182509899139404,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn level r=2,level,2,-1,Acrobot-v1,4,1.0702877277583929,2.2219951152801514,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn level r=4,level,4,-1,Acrobot-v1,4,0.7712562391073265,2.271507740020752,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn level r=6,level,6,-1,Acrobot-v1,4,0.4249330370086312,2.4781136512756348,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn level r=8,level,8,-1,Acrobot-v1,4,0.546765856477321,2.480252981185913,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn level r=12,level,12,-1,Acrobot-v1,4,0.5482466772480962,3.006042957305908,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn level r=16,level,16,-1,Acrobot-v1,4,0.5672424578149602,3.4534504413604736,96w@4080
Chronos-2 S (level),Chronos-2 S (level) level r=1,level,1,-1,Acrobot-v1,4,1.3052063648451127,0.657414436340332,96w@4080
Moirai,Moirai diff r=1,diff,1,-1,Acrobot-v1,4,1.1717640315110793,4.428536653518677,96w@4080
Moirai,Moirai diff r=2,diff,2,-1,Acrobot-v1,4,1.3229149672897487,3.9041855335235596,96w@4080
Moirai,Moirai diff r=4,diff,4,-1,Acrobot-v1,4,0.8690625614315312,3.8877768516540527,96w@4080
Moirai,Moirai diff r=6,diff,6,-1,Acrobot-v1,4,0.8495883264496906,4.152097463607788,96w@4080
Moirai,Moirai diff r=8,diff,8,-1,Acrobot-v1,4,0.9181970676700472,4.124872446060181,96w@4080
Moirai,Moirai diff r=12,diff,12,-1,Acrobot-v1,4,0.9916153262498332,4.959947347640991,96w@4080
Moirai,Moirai diff r=16,diff,16,-1,Acrobot-v1,4,0.9535790150933979,5.264978647232056,96w@4080
Moirai,Moirai level r=1,level,1,-1,Acrobot-v1,4,1.7220035527066815,3.8751800060272217,96w@4080
Moirai,Moirai level r=2,level,2,-1,Acrobot-v1,4,1.5483618889149788,3.8641481399536133,96w@4080
Moirai,Moirai level r=4,level,4,-1,Acrobot-v1,4,0.9194530948618752,4.135316371917725,96w@4080
Moirai,Moirai level r=6,level,6,-1,Acrobot-v1,4,0.9355181261026307,4.181153774261475,96w@4080
Moirai,Moirai level r=8,level,8,-1,Acrobot-v1,4,0.9293404277524452,4.6597559452056885,96w@4080
Moirai,Moirai level r=12,level,12,-1,Acrobot-v1,4,0.9913325584832268,5.240758895874023,96w@4080
Moirai,Moirai level r=16,level,16,-1,Acrobot-v1,4,0.9845307446984813,6.090475559234619,96w@4080
MLP,MLP lag 1,-,0,1,Acrobot-v1,4,26.855233983277177,0.09854817390441895,96w@4080
MLP,MLP lag 4,-,0,4,Acrobot-v1,4,,0.0028045177459716797,96w@4080
MLP,MLP lag 16,-,0,16,Acrobot-v1,4,,0.0026574134826660156,96w@4080
VARX,VARX lag 1,-,0,1,Acrobot-v1,4,3.262523428337427,0.004260540008544922,96w@4080
VARX,VARX lag 4,-,0,4,Acrobot-v1,4,,0.0008769035339355469,96w@4080
VARX,VARX lag 16,-,0,16,Acrobot-v1,4,,0.0008232593536376953,96w@4080
Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,Acrobot-v1,8,0.6728212234490015,0.6428937911987305,96w@4080
Chronos-2 S,Chronos-2 S diff r=2,diff,2,-1,Acrobot-v1,8,0.4793595949732324,0.6547143459320068,96w@4080
Chronos-2 S,Chronos-2 S diff r=4,diff,4,-1,Acrobot-v1,8,0.4149452457015561,0.7383153438568115,96w@4080
Chronos-2 S,Chronos-2 S diff r=6,diff,6,-1,Acrobot-v1,8,0.39545326875260906,0.863797664642334,96w@4080
Chronos-2 S,Chronos-2 S diff r=8,diff,8,-1,Acrobot-v1,8,0.3775465640292008,0.9676904678344727,96w@4080
Chronos-2 S,Chronos-2 S diff r=12,diff,12,-1,Acrobot-v1,8,0.3575597248540035,1.1963768005371094,96w@4080
Chronos-2 S,Chronos-2 S diff r=16,diff,16,-1,Acrobot-v1,8,0.3868754701468296,1.309997797012329,96w@4080
Chronos-2 S,Chronos-2 S level r=1,level,1,-1,Acrobot-v1,8,0.6685880730898773,0.6543843746185303,96w@4080
Chronos-2 S,Chronos-2 S level r=2,level,2,-1,Acrobot-v1,8,0.47600944649227067,0.653740406036377,96w@4080
Chronos-2 S,Chronos-2 S level r=4,level,4,-1,Acrobot-v1,8,0.37291195999306775,0.7386875152587891,96w@4080
Chronos-2 S,Chronos-2 S level r=6,level,6,-1,Acrobot-v1,8,0.34680643363186553,0.8620762825012207,96w@4080
Chronos-2 S,Chronos-2 S level r=8,level,8,-1,Acrobot-v1,8,0.3014762690060877,0.9682106971740723,96w@4080
Chronos-2 S,Chronos-2 S level r=12,level,12,-1,Acrobot-v1,8,0.31002230923849416,1.1978535652160645,96w@4080
Chronos-2 S,Chronos-2 S level r=16,level,16,-1,Acrobot-v1,8,0.3218352965240331,1.4107298851013184,96w@4080
Chronos-2 L,Chronos-2 L diff r=1,diff,1,-1,Acrobot-v1,8,0.608936606259433,2.1145734786987305,96w@4080
Chronos-2 L,Chronos-2 L diff r=2,diff,2,-1,Acrobot-v1,8,0.4539636596453618,2.1153907775878906,96w@4080
Chronos-2 L,Chronos-2 L diff r=4,diff,4,-1,Acrobot-v1,8,0.40708064728159643,2.5700249671936035,96w@4080
Chronos-2 L,Chronos-2 L diff r=6,diff,6,-1,Acrobot-v1,8,0.4609311395017049,3.1338043212890625,96w@4080
Chronos-2 L,Chronos-2 L diff r=8,diff,8,-1,Acrobot-v1,8,0.42947295763478704,3.7506351470947266,96w@4080
Chronos-2 L,Chronos-2 L diff r=12,diff,12,-1,Acrobot-v1,8,0.44561252356516085,4.8139848709106445,96w@4080
Chronos-2 L,Chronos-2 L diff r=16,diff,16,-1,Acrobot-v1,8,0.43644012568977003,5.152284860610962,96w@4080
Chronos-2 L,Chronos-2 L level r=1,level,1,-1,Acrobot-v1,8,0.5949881295826441,2.2476754188537598,96w@4080
Chronos-2 L,Chronos-2 L level r=2,level,2,-1,Acrobot-v1,8,0.4452626522261554,2.193577766418457,96w@4080
Chronos-2 L,Chronos-2 L level r=4,level,4,-1,Acrobot-v1,8,0.40349871336310317,2.513529062271118,96w@4080
Chronos-2 L,Chronos-2 L level r=6,level,6,-1,Acrobot-v1,8,0.41931763197102323,3.042820930480957,96w@4080
Chronos-2 L,Chronos-2 L level r=8,level,8,-1,Acrobot-v1,8,0.3885221719706502,3.4836766719818115,96w@4080
Chronos-2 L,Chronos-2 L level r=12,level,12,-1,Acrobot-v1,8,0.3877567161414402,4.587211847305298,96w@4080
Chronos-2 L,Chronos-2 L level r=16,level,16,-1,Acrobot-v1,8,0.37701643928941175,5.227977275848389,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn diff r=1,diff,1,-1,Acrobot-v1,8,1.0127708215136686,2.173082113265991,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn diff r=2,diff,2,-1,Acrobot-v1,8,0.48564227227542106,2.172412872314453,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn diff r=4,diff,4,-1,Acrobot-v1,8,0.3664253107488114,2.5049123764038086,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn diff r=6,diff,6,-1,Acrobot-v1,8,0.3675824038466271,3.211542844772339,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn diff r=8,diff,8,-1,Acrobot-v1,8,0.43614775924924426,3.64072585105896,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn diff r=12,diff,12,-1,Acrobot-v1,8,0.46281173717126484,4.575563907623291,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn diff r=16,diff,16,-1,Acrobot-v1,8,0.4183155113073224,5.00964093208313,96w@4080
