model,series,horizon_h,mae,rmse
persistence,Building_3:non_shiftable_load,6,0.5585595580249532,0.8358582827617692
persistence,Building_3:non_shiftable_load,12,0.6517149507481622,0.9501796701070697
persistence,Building_3:non_shiftable_load,24,0.477575323773778,0.7704421518811975
persistence,Building_3:solar_generation,6,253.0172070276361,358.0598453328928
persistence,Building_3:solar_generation,12,330.16736535076325,416.6901307197531
persistence,Building_3:solar_generation,24,32.85211023212017,91.0514162236717
persistence,Building_4:non_shiftable_load,6,0.8224924029272112,1.151605386889804
persistence,Building_4:non_shiftable_load,12,0.899263867023023,1.2360066134940901
persistence,Building_4:non_shiftable_load,24,0.5363857706147119,0.7925395130359498
persistence,Building_4:solar_generation,6,212.42419297672868,300.30483033886105
persistence,Building_4:solar_generation,12,277.2254570515908,349.71706165764016
persistence,Building_4:solar_generation,24,27.685752357663446,76.65376559559549
persistence,Building_5:non_shiftable_load,6,0.7701153604856891,1.0422980843816012
persistence,Building_5:non_shiftable_load,12,0.9101904318526238,1.1979247452052548
persistence,Building_5:non_shiftable_load,24,0.4116694371291807,0.6215207812204759
persistence,Building_5:solar_generation,6,261.7256339086837,365.9150932994527
persistence,Building_5:solar_generation,12,344.0219940766391,426.2421036389929
persistence,Building_5:solar_generation,24,38.52989071719153,104.37489830146403
