model,variant,presentation,r,lag,env,budget,nmse,seconds,evalset
Moirai,Moirai level r=1,level,1,-1,MountainCar-v0,4,3.1282593924463606,2.171330451965332,96w@8192
Moirai,Moirai level r=2,level,2,-1,MountainCar-v0,4,2.957963256519339,2.17010498046875,96w@8192
Moirai,Moirai level r=4,level,4,-1,MountainCar-v0,4,0.6472745662987974,2.310295820236206,96w@8192
Moirai,Moirai level r=6,level,6,-1,MountainCar-v0,4,0.7601183983928358,2.3081579208374023,96w@8192
Moirai,Moirai level r=8,level,8,-1,MountainCar-v0,4,0.536589547160586,2.5585880279541016,96w@8192
Moirai,Moirai level r=12,level,12,-1,MountainCar-v0,4,0.6931756602950395,2.864694356918335,96w@8192
Moirai,Moirai level r=16,level,16,-1,MountainCar-v0,4,0.687704644024457,3.623812198638916,96w@8192
MLP,MLP lag 1,-,0,1,MountainCar-v0,4,1.052067934346971,0.09761881828308105,96w@8192
MLP,MLP lag 4,-,0,4,MountainCar-v0,4,,0.003490924835205078,96w@8192
MLP,MLP lag 16,-,0,16,MountainCar-v0,4,,0.003348112106323242,96w@8192
VARX,VARX lag 1,-,0,1,MountainCar-v0,4,258.30199016867056,0.004033803939819336,96w@8192
VARX,VARX lag 4,-,0,4,MountainCar-v0,4,,0.0008077621459960938,96w@8192
VARX,VARX lag 16,-,0,16,MountainCar-v0,4,,0.0007493495941162109,96w@8192
Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,MountainCar-v0,8,0.04942781960647761,0.33057188987731934,96w@8192
Chronos-2 S,Chronos-2 S diff r=2,diff,2,-1,MountainCar-v0,8,0.03987700820214237,0.33690643310546875,96w@8192
Chronos-2 S,Chronos-2 S diff r=4,diff,4,-1,MountainCar-v0,8,0.02396675660613342,0.35349440574645996,96w@8192
Chronos-2 S,Chronos-2 S diff r=6,diff,6,-1,MountainCar-v0,8,0.027795804456191196,0.3899974822998047,96w@8192
Chronos-2 S,Chronos-2 S diff r=8,diff,8,-1,MountainCar-v0,8,0.026646901516589452,0.4655494689941406,96w@8192
Chronos-2 S,Chronos-2 S diff r=12,diff,12,-1,MountainCar-v0,8,0.03401900281503621,0.5483481884002686,96w@8192
Chronos-2 S,Chronos-2 S diff r=16,diff,16,-1,MountainCar-v0,8,0.11318630022152172,0.5939080715179443,96w@8192
Chronos-2 S,Chronos-2 S level r=1,level,1,-1,MountainCar-v0,8,0.5617359767219999,0.30837583541870117,96w@8192
Chronos-2 S,Chronos-2 S level r=2,level,2,-1,MountainCar-v0,8,0.6194273320087137,0.30764269828796387,96w@8192
Chronos-2 S,Chronos-2 S level r=4,level,4,-1,MountainCar-v0,8,0.2355436117892388,0.3456003665924072,96w@8192
Chronos-2 S,Chronos-2 S level r=6,level,6,-1,MountainCar-v0,8,0.22603846499505556,0.38938331604003906,96w@8192
Chronos-2 S,Chronos-2 S level r=8,level,8,-1,MountainCar-v0,8,0.16862375697537466,0.4640529155731201,96w@8192
Chronos-2 S,Chronos-2 S level r=12,level,12,-1,MountainCar-v0,8,0.12294697023857536,0.548755407333374,96w@8192
Chronos-2 S,Chronos-2 S level r=16,level,16,-1,MountainCar-v0,8,0.15321571621460714,0.640204668045044,96w@8192
Chronos-2 L,Chronos-2 L diff r=1,diff,1,-1,MountainCar-v0,8,0.1292673737789921,0.9865360260009766,96w@8192
Chronos-2 L,Chronos-2 L diff r=2,diff,2,-1,MountainCar-v0,8,0.11289056628595583,0.9905364513397217,96w@8192
Chronos-2 L,Chronos-2 L diff r=4,diff,4,-1,MountainCar-v0,8,0.04767860747947479,1.1388883590698242,96w@8192
Chronos-2 L,Chronos-2 L diff r=6,diff,6,-1,MountainCar-v0,8,0.04662159421718607,1.3336524963378906,96w@8192
Chronos-2 L,Chronos-2 L diff r=8,diff,8,-1,MountainCar-v0,8,0.04015829353404036,1.6212241649627686,96w@8192
Chronos-2 L,Chronos-2 L diff r=12,diff,12,-1,MountainCar-v0,8,0.030356861186534554,1.9625952243804932,96w@8192
Chronos-2 L,Chronos-2 L diff r=16,diff,16,-1,MountainCar-v0,8,0.11034572096690054,2.238724946975708,96w@8192
Chronos-2 L,Chronos-2 L level r=1,level,1,-1,MountainCar-v0,8,0.3163112534427836,0.9917325973510742,96w@8192
Chronos-2 L,Chronos-2 L level r=2,level,2,-1,MountainCar-v0,8,0.20894648291342102,0.9825117588043213,96w@8192
Chronos-2 L,Chronos-2 L level r=4,level,4,-1,MountainCar-v0,8,0.19961856217042315,1.1348867416381836,96w@8192
Chronos-2 L,Chronos-2 L level r=6,level,6,-1,MountainCar-v0,8,0.17369568338247898,1.3125622272491455,96w@8192
Chronos-2 L,Chronos-2 L level r=8,level,8,-1,MountainCar-v0,8,0.16117310680432584,1.6235501766204834,96w@8192
Chronos-2 L,Chronos-2 L level r=12,level,12,-1,MountainCar-v0,8,0.13804523825521978,1.961780309677124,96w@8192
Chronos-2 L,Chronos-2 L level r=16,level,16,-1,MountainCar-v0,8,0.156213417617026,2.336404323577881,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=1,diff,1,-1,MountainCar-v0,8,0.02614445361096242,0.984687328338623,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=2,diff,2,-1,MountainCar-v0,8,0.020862545012093066,0.992102861404419,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=4,diff,4,-1,MountainCar-v0,8,0.02119484258108387,1.1645145416259766,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=6,diff,6,-1,MountainCar-v0,8,0.016622405150461848,1.3621599674224854,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=8,diff,8,-1,MountainCar-v0,8,0.013302249310495215,1.6724495887756348,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=12,diff,12,-1,MountainCar-v0,8,0.013361581711980739,2.022127389907837,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=16,diff,16,-1,MountainCar-v0,8,0.02706868913085735,2.1711466312408447,96w@8192
